Created on 05-18-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2020-01-25,ETHUSD,162.15,162.32,157.55,160.54,3852.12,616161.21
2020-01-24,ETHUSD,162.51,164.24,155.12,162.15,50015.81,7995308.53
2020-01-23,ETHUSD,167.81,167.81,158.68,162.51,15319.59,2488706.29
2020-01-22,ETHUSD,169.35,171.03,165.64,167.81,14719.87,2472833.04
2020-01-21,ETHUSD,166.65,169.99,164.28,169.35,25536.59,4278217.7
2020-01-20,ETHUSD,166.72,169.23,160.9,166.65,25280.7,4175271.82
2020-01-19,ETHUSD,174.24,178,161.53,166.72,21710.24,3643459.73
2020-01-18,ETHUSD,169.62,179.26,164.78,174.24,23068.05,4003559.07
2020-01-17,ETHUSD,164.09,174.3,162.01,169.62,36387.65,6171714.3
2020-01-16,ETHUSD,166.26,167.28,158.35,164.09,32297.64,5238090.67
2020-01-15,ETHUSD,165.93,171.78,159.09,166.26,53765.38,8884630.61
2020-01-14,ETHUSD,143.51,170.86,143.51,165.93,76002.19,11943928.43
2020-01-13,ETHUSD,146.28,146.86,142.14,143.51,14097.82,2020082.48
2020-01-12,ETHUSD,142.63,146.55,141.83,146.28,4319.42,623306.29
2020-01-11,ETHUSD,144.73,148,142.01,142.63,9947.05,1436109.83
2020-01-10,ETHUSD,137.92,145.29,135.18,144.73,20791.11,2929528.62
2020-01-09,ETHUSD,140.48,141.19,135.4,137.92,23552.0,3260269.86
2020-01-08,ETHUSD,143,148,136.42,140.48,41734.21,5881880.08
2020-01-07,ETHUSD,144.37,145.2,138.87,143,17039.77,2433875.34
2020-01-06,ETHUSD,134.94,144.41,134.81,144.37,28594.18,4032349.08
2020-01-05,ETHUSD,133.85,138.23,133.85,134.94,6286.34,856024.29
2020-01-04,ETHUSD,133.89,135.69,132.3,133.85,8324.23,1110753.55
2020-01-03,ETHUSD,126.76,134.9,125.55,133.89,33830.22,4428329.72
2020-01-02,ETHUSD,130.27,130.31,125.67,126.76,14036.97,1805954.87
2020-01-01,ETHUSD,128.63,132.64,128.17,130.27,9263.16,1210406.89
2019-12-31,ETHUSD,131.05,133.28,127.65,128.63,14849.53,1930397.76
